premise,hypothesis,label,o_index,id
a man is rock climbing pausing and calculating the route,a man is rock climbing stopping and calculating the route,entailment,427,8633
no group of people is gathering at a stand at the fair,the people are standing at a carnival,neutral,428,8658
a group of rollerbladers is lining up on the street,a group of rollerbladers is lining up on the road,entailment,429,8660
a skateboarder is jumping off a ramp,a skateboarder is making a jump off a ramp,entailment,430,8678
a black and orange bird is standing in the grass,the black bird with a yellow beak is standing in the green grass,neutral,431,8700
two white dogs are quickly running together,two white dogs are running together,entailment,432,8714
a group of people are standing around a sound mixing table,some people is looking at sound equipment,entailment,433,8727
a girl is skipping rope on a sidewalk,a girl is skipping rope on near a street,entailment,434,8786
a girl is jumping rope on a sidewalk near a parking garage,a girl is skipping rope on near a street,neutral,435,8792
a dog is swimming in a body of water,an animal is swimming in a body of water,entailment,436,8806
a woman is leaning on the ledge of a balcony,a man is leaning on the ledge of a balcony,neutral,437,8832
a small white dog is running across a lawn,a big white dog is running across a lawn,neutral,438,8841
the dog is on a leash and is walking near the water,a black dog on a leash is walking in the water,neutral,439,8855
one boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,two males are standing on a cliff edge and one is jumping into the water,neutral,440,8938
a small group of people are standing and two are sitting on the sofa,a group of five young adults are lounging indoors,neutral,441,8963
a young girl in a bikini is jumping on the beach,a young girl in swimming suite is jumping on the beach,entailment,442,8986
a blond child is going down a slide and throwing up his arms,a child with dark hair is going down a slide and throwing up his arms,contradiction,443,9014
two dogs are playing in a forest,a brown dog is running after a black dog on a rocky shore,neutral,444,9029
a white dog is approaching a golden dog on pebbly beach,two dogs are playing on a rocky beach,neutral,445,9036
two young girls are wearing hats and sticking their colored tongues out,two kids are sticking out blue and green colored tongues,neutral,446,9056
two boys are laying in the ocean close to the beach,two boys are laying in the water close to the beach,entailment,447,9069
a large man is sitting in a military accessories store,a veteran is showing different things from a war to some people,neutral,448,9093
a dog with a blue collar is playing with the ball outside,a grey dog is bouncing a soccer ball on its head in a grass field,neutral,449,9102
a young woman with indian clothing and henna on her hand is going through paperwork,a woman is wearing a colorful shirt and a lot of jewelry,neutral,450,9125
a man in a jersey which is black is standing in a gym,a man in a black jersey is standing in a gym,entailment,451,9132
a man in a black jersey is standing in a gym,a man is standing in a gym and is wearing a jersey,entailment,452,9136
a little brown and white dog is running on the sidewalk,a little brown and white dog is running on the road,neutral,453,9169
a dog is turning on the grass and pursuing a flying tennis ball,a yellow dog is chasing a ball,neutral,454,9188
a woman in blue jeans is standing in front of a group of children beside a stone built house,no lady is standing on the street and is surrounded by school children,neutral,455,9198
a lady is standing on the street and is surrounded by school children,a man in blue jeans is standing in front of a group of children beside a stone built house,neutral,456,9200
a guy is leaping into the air in wood,a guy is leaping into the air in a wooded area,neutral,457,9211
a dog is running with a ball,the black dog is carrying a blue and white ball in its mouth,neutral,458,9224
the man in blue is posing for a picture next to a vehicle,a man is standing at the wheel of a classic american car that has its door and trunk open,neutral,459,9242
a man is skiing down a hill and jumping a red obstacle,a man is snowboarding down a railing in the snow,neutral,460,9287
the skateboarder is jumping in the air,a skateboarder is jumping in the air,entailment,461,9303
a snowboarder is grinding down a long concrete rail,a person is doing acrobatics on a snowboard,neutral,462,9314
a group of people is walking down the street and a person in a green hat is on the phone,four people are walking along a city sidewalk and the one in the green hat is phoning someone,neutral,463,9336
a surfer is surfing a big wave,a surfer is surfing a huge wave,entailment,464,9359
a person with a red hooded jacket and a black backpack is walking near a rocky wall,a man in a red jacket and khaki pants is walking through an european state,neutral,465,9371
the players is maneuvering for the soccer ball,a man in green is kicking a soccer ball and a man in purple and white is rising up,neutral,466,9380
the man dressed in leather chaps and a purple shirt is standing in front of someone lookers,a man is wearing a purple shirt and black leather chaps and is posing for the camera,neutral,467,9401
a dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,a dog is in the sand that is blowing in the air,neutral,468,9424
no dog is in the sand that is blowing in the wind,a dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,contradiction,469,9425
the black and white dog is running in a green yard,a black and white dog is running outdoors,entailment,470,9433
a dog is jumping into the air in the country,a dog is jumping in the shade of some trees,neutral,471,9452
a dog is jumping in the shade of some trees,a cat is jumping high into the air in the country,neutral,472,9453
a cluster of four brown dogs are playing in a field of brown grass,four dogs are not playing in a grassy area,contradiction,473,9490
a big brown and white spotted dog is lying on a jacket on the street,the dog is having a nap in the park,neutral,474,9500
a man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,the rider dressed in orange is driving a motorcycle on one wheel,neutral,475,9545
an elder man is sitting on a bench and is wearing a gray jacket and black pants,an elderly man is sitting on a bench,entailment,476,9571
the woman is holding the paintbrush next to the artists easel,the lady is holding the paintbrush next to the artists easel ,entailment,477,9584
a man is wearing a blue shirt and walking barefoot on a tennis court,a woman is wearing a blue shirt and walking barefoot on a tennis court,neutral,478,9623
the young girl is playing on the edge of a fountain and an older woman is watching her,a young girl is playing on the edge of a fountain and an older woman is watching her,entailment,479,9669
a young girl is playing on the edge of a fountain and an older woman is watching her,a little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,neutral,480,9677
a black and white dog with a large branch is standing in the field,a black and white dog with a large branch is running in the field,contradiction,481,9706
a black and white dog is carrying a huge stick on the green grass,a black and white dog with a large branch is running in the field,entailment,482,9713
a boy is running through the sand,a boy wearing a striped shirt is running barefoot on the sandy hill,neutral,483,9722
two young boys are looking up at the camera and one is sticking out his tongue,the little boy is sticking his tongue out for the camera and another boy is looking on,neutral,484,9745
a little boy is sticking his tongue out for the camera and another boy is looking on,two kids are looking up at the camera and one is sticking out his tongue,entailment,485,9747
a laughing child is holding a water gun and getting sprayed with water,a person in a blue jacket is jumping onto a tall cement wall,neutral,486,9759
a person is slicing some mushrooms,the elephant is being ridden by the woman,neutral,487,9763
two small children are playing with a toy car in the street,a dog is running through a field and is chasing a toy,neutral,488,9771
a man is playing an electric guitar,a group of people is holding drinks and pointing at the camera,neutral,489,9788
a girl in gold and purple is holding a rainbow afghan,a man is squatting in brush and taking a photo,neutral,490,9789
two people are riding a bike,a practicing jumper is tossing a persons snowboard into the air,neutral,491,9822
some instruments are being played by a band,a young topless woman is covered in paint,neutral,492,9838
a family is buying something at the vending machine,a man in a suit is standing at a microphone and singing,neutral,493,9843
a bike is being ridden over a monkey,a person is riding a dirt bike down a dirt hill,neutral,494,9869
a biker is riding away from a fence,a man is dancing on the road,neutral,495,9880
a woman is playing an electric guitar,a kid is playing guitar,neutral,496,9931
the animal is grazing on the grass,the cop is sitting on a police bike,neutral,497,9963
the dog is snapping at some droplets of water,a girl in a band is playing an instrument,neutral,498,9975
a young man is pushing a motocross bike down a dirt hill,a dog is swimming after a tennis ball,neutral,499,9988
a group of kids is playing in a yard and an old man is standing in the background,a group of boys in a yard is playing and a man is standing in the background,neutral,500,1
a group of children is playing in the house and there is no man standing in the background,a group of kids is playing in a yard and an old man is standing in the background,neutral,501,2
the young boys are playing outdoors and the man is smiling nearby,the kids are playing outdoors near a man with a smile,entailment,502,3
the kids are playing outdoors near a man with a smile,a group of kids is playing in a yard and an old man is standing in the background,neutral,503,5
the young boys are playing outdoors and the man is smiling nearby,a group of kids is playing in a yard and an old man is standing in the background,neutral,504,9
two dogs are fighting,two dogs are wrestling and hugging,neutral,505,12
a brown dog is attacking another animal in front of the man in pants,two dogs are fighting,neutral,506,14
a brown dog is attacking another animal in front of the man in pants,two dogs are wrestling and hugging,neutral,507,18
nobody is riding the bicycle on one wheel,a person in a black jacket is doing tricks on a motorbike,neutral,508,25
a person is riding the bicycle on one wheel,a man in a black jacket is doing tricks on a motorbike,neutral,509,26
a person on a black motorbike is doing tricks with a jacket,a person is riding the bicycle on one wheel,neutral,510,28
a man with a jersey is dunking the ball at a basketball game,the ball is being dunked by a man with a jersey at a basketball game,entailment,511,30
a man with a jersey is dunking the ball at a basketball game,a man who is playing dunks the basketball into the net and a crowd is in background,neutral,512,35
the player is dunking the basketball into the net and a crowd is in background,a man with a jersey is dunking the ball at a basketball game,neutral,513,40
two people are kickboxing and spectators are not watching,two people are kickboxing and spectators are watching,contradiction,514,42
two young women are sparring in a kickboxing fight,two women are sparring in a kickboxing match,entailment,515,44
two young women are not sparring in a kickboxing fight,two women are sparring in a kickboxing match,neutral,516,45
two people are kickboxing and spectators are watching,two young women are not sparring in a kickboxing fight,neutral,517,47
two women are sparring in a kickboxing match,two people are kickboxing and spectators are not watching,neutral,518,49
three boys are jumping in the leaves,three kids are jumping in the leaves,entailment,519,55
three kids are sitting in the leaves,three kids are jumping in the leaves,neutral,520,56
children in red shirts are playing in the leaves,three kids are sitting in the leaves,neutral,521,58
children in red shirts are playing in the leaves,three kids are jumping in the leaves,neutral,522,62
two angels are making snow on the lying children,two children are lying in the snow and are making snow angels,neutral,523,65
two children are lying in the snow and are drawing angels,two people in snowsuits are lying in the snow and making snow angels,neutral,524,70
two people in snowsuits are lying in the snow and making snow angels,two angels are making snow on the lying children,neutral,525,72
two children are lying in the snow and are making snow angels,two people in snowsuits are lying in the snow and making snow angels,neutral,526,73
people wearing costumes are gathering in a forest and are looking in the same direction,masked people are looking in the same direction in a forest,entailment,527,77
people wearing costumes are gathering in a forest and are looking in the same direction,people wearing costumes are scattering in a forest and are looking in different directions,neutral,528,78
people are looking at some costumes gathered in the vicinity of the forest,people wearing costumes are gathering in a forest and are looking in the same direction,neutral,529,79
a little girl is looking at a woman in costume,people wearing costumes are scattering in a forest and are looking in different directions,neutral,530,81
a little girl is looking at a woman in costume,people are looking at some costumes gathered in the vicinity of the forest,neutral,531,82
a young girl is looking at a woman in costume,people wearing costumes are gathering in a forest and are looking in the same direction,neutral,532,83
people wearing costumes are gathering in a forest and are looking in the same direction,the little girl is looking at a man in costume,neutral,533,84
people wearing costumes are gathering in a forest and are looking in the same direction,a little girl in costume looks like a woman,neutral,534,85
a lone biker is jumping in the air,a biker is jumping in the air alone,entailment,535,87
there is no biker jumping in the air,a lone biker is jumping in the air,contradiction,536,88
a man is jumping into an empty pool,a man is jumping into a full pool,contradiction,537,90
a man is jumping into an empty pool,the mans jumper is in the empty pool,neutral,538,91
a lone biker is jumping in the air,a man is jumping into a full pool,neutral,539,93
the mans jumper is in the empty pool,a lone biker is jumping in the air,neutral,540,94
a lone biker is jumping in the air,a man is jumping into an empty pool,neutral,541,97
four kids are doing backbends in the park,four children are doing backbends in the park,entailment,542,98
four children are doing backbends in the gym,four children are doing backbends in the park,neutral,543,99
four girls are doing backbends and playing in the garden,four girls are doing backbends and playing outdoors,entailment,544,100
a man who is playing is running with the ball in his hands,a player is running with the ball,entailment,545,107
two groups of people are playing football,a player is running with the ball,neutral,546,112
two teams are competing in a baseball game,a player is running with the ball,neutral,547,113
a player is running with the ball,two teams are competing in a football match,neutral,548,117
five wooden stands are in front of each childs hut,five children are standing in front of a wooden hut,neutral,549,120
five kids are standing close together and one kid has a gun,five kids are standing close together and none of the kids has a gun,contradiction,550,122
five kids are standing close together and none of the kids has a gun,five children are standing in front of a wooden hut,neutral,551,124
five children are standing in a wooden hut,five kids are standing close together and one kid has a gun,neutral,552,126
five wooden stands are in front of each childs hut,five kids are standing close together and one kid has a gun,neutral,553,127
an old man is sitting in a field,a man is sitting in a field,entailment,554,129
a man is sitting in a field,a man is running in a field,neutral,555,130
a person is wearing a hat and is sitting on the grass,a person is sitting in a field and is wearing a hat,neutral,556,131
a person is sitting and wearing a grass hat,a person is wearing a hat and is sitting on the grass,neutral,557,133
a person is sitting and wearing a grass hat,a man is sitting in a field,neutral,558,136
a man is sitting in a field,a person is wearing a hat and is sitting on the grass,neutral,559,139
the current is being ridden by a group of friends in a raft,a group of friends are riding the current in a raft,entailment,560,140
a group of friends are riding the current in a raft,a group is not riding the current in a raft,contradiction,561,141
the current is being ridden by a group of friends in a raft,this group of people is practicing water safety and wearing preservers,neutral,562,146
a group of friends are riding the current in a raft,this group of people is practicing water safety and wearing preservers,neutral,563,148
a deer is jumping over a fence,a deer isnt jumping over the fence,contradiction,564,150
people are walking inside a building that has many murals on it,people are walking outside a building that has many murals on it,neutral,565,159
several people are in front of a colorful building,nobody is in front of the colorful building,contradiction,566,161
people are walking outside a building that has many murals on it,nobody is in front of the colorful building,neutral,567,163
people are walking outside the building that has several murals on it,several people are in front of a colorful building,entailment,568,164
a family is watching a little boy who is hitting a baseball,a family is watching a little boy who is missing a baseball,neutral,569,170
a child is hitting a baseball,a family is watching a little boy who is missing a baseball,neutral,570,173
a child is missing a baseball,a family is watching a little boy who is hitting a baseball,neutral,571,176
a purple crowd of people is eating on various red lit restaurant tables,various people are eating at red tables in a crowded restaurant with purple lights,neutral,572,183
a large group of asian people is eating at a restaurant,various customers are eating in a crowded restaurant with purple lights,neutral,573,184
a purple crowd of people is eating on various red lit restaurant tables,a large group of asian people is eating at a restaurant,neutral,574,186
various people are eating at red tables in a crowded restaurant with purple lights,a small group of people is waiting to eat in a restaurant,neutral,575,188
a motorcycle rider is standing up on the seat of a white motorcycle,no motorcycle rider is standing up on the seat of a motorcycle,contradiction,576,192
nobody is on a motorcycle and is standing on the seat,someone is on a black and white motorcycle and is standing on the seat,contradiction,577,194
a motorcyclist is riding a motorbike dangerously along a roadway,a motorcyclist is riding a motorbike along a roadway,entailment,578,200
there is no motorcyclist riding a motorbike along a roadway,a motorcyclist is riding a motorbike along a roadway,contradiction,579,201
a man with a helmet painted red is riding a blue motorcycle down the road,a motorcyclist with a red helmet is riding a blue motorcycle down the road,entailment,580,202
a motorcyclist without a helmet is waiting on a blue motorcycle near the road,a motorcyclist is riding a motorbike along a roadway,neutral,581,205
two dogs are playing by a tree,a dog is catching a stick in the air and another is watching,neutral,582,215
two dogs are playing by a tree,there is no dog leaping in the air,neutral,583,216
two dogs are playing by a tree,a dog is leaping high in the air and another is watching,neutral,584,217
a girl in white is dancing,the dancer is dancing in front of the sound equipment,neutral,585,223
a girl in white is dancing,the blond girl is dancing behind the sound equipment,neutral,586,224
a girl is wearing white clothes and is dancing,the blond girl is dancing in front of the sound equipment,neutral,587,226
the blond girl is dancing in front of the sound equipment,there is no girl in white dancing,neutral,588,227
three asian kids are dancing and a man is looking,three asian kids are dancing and there is no man looking,contradiction,589,232
three asian kids are dancing and a man is looking,an asian man is dancing and three kids are looking,neutral,590,233
the children of a family are playing and waiting,three asian kids are dancing and a serious man is looking,neutral,591,234
the children of a family are patiently playing and waiting,three asian kids are dancing and a man is looking,neutral,592,237
there are no children playing and waiting,three asian kids are dancing and a man is looking,neutral,593,238
a woman is wearing an egyptian hat on her head,a woman is wearing an egyptian headdress,entailment,594,240
a woman is wearing an egyptian headdress,a woman is wearing an indian headdress,neutral,595,241
the black woman is wearing glasses over the headdress,a woman is wearing an egyptian headdress,neutral,596,248
a woman is wearing an egyptian hat on her head,the woman is wearing glasses and a black headdress,neutral,597,249
a hiker is on top of the mountain and is dancing,there is no hiker dancing on top of the mountain,contradiction,598,254
there is no man on a rock high above some trees standing in a strange position,a man is on a rock high above some trees and is standing in a strange position,contradiction,599,256
a hiker is on top of the mountain and is dancing,a man is on a rock high above some trees and is standing in an uncomfortable position,neutral,600,257
a hiker is on top of the mountain and is dancing,there is no man on a rock high above some trees standing in a strange position,neutral,601,258
a man is on a rock high above some trees and is standing in a strange position,a hiker is on top of the mountain and is doing a joyful dance,neutral,602,259
there is no hiker dancing on top of the mountain,a man is on a rock high above some trees and is standing in a strange position,neutral,603,260
the brown horse is very near a red barrel at the rodeo,the brown horse is near a red barrel at the rodeo,entailment,604,265
the brown horse is near a red barrel at the rodeo,the brown horse is far from a red barrel at the rodeo,contradiction,605,266
a cowgirl is riding a brown horse and is cornering a barrel,the brown horse is near a red barrel at the rodeo,neutral,606,269
a cowgirl is riding a horse and corners a barrel,the brown horse is near a red barrel at the rodeo,neutral,607,272
a boy is standing in the cold water,a boy is standing in the water,entailment,608,273
the boy is sitting near the blue ocean,the boy is wading through the blue ocean,contradiction,609,276
a boy is standing in the water,the kid is swimming through the blue ocean,neutral,610,277
the boy is wading through the blue ocean,a boy is standing in the cold water,neutral,611,279
a man is playing a guitar on stage,there is no man playing a guitar on stage,contradiction,612,283
a man is playing a guitar on stage,a guitarist has blonde and flyaway hair,neutral,613,286
a man is playing a guitar on stage,a bald person is playing a guitar,neutral,614,287
there is no man playing a guitar on stage,a person has blonde and flyaway hair and is playing a guitar,neutral,615,289
several children are sitting down and have their knees raised,several children are lying down and are raising their knees,neutral,616,291
two young girls are sitting on the ground,two girls are sitting on the ground,entailment,617,293
two girls are lying on the ground,several children are sitting down and have their knees raised,neutral,618,296
a nude lady is walking in front of a crowd in body paint,there is no lady walking in body paint in front of a crowd ,contradiction,619,301
a nude lady is walking in front of a crowd in body paint,a nude crowd in body paint is walking in front of a lady ,neutral,620,302
a young topless woman is covered in paint,a topless girl is covered in paint,entailment,621,303
a nude lady is walking in front of a crowd in body paint,a topless girl is covered in paint,entailment,622,305
a nude crowd in body paint is walking in front of a lady,a young topless woman is covered in paint,neutral,623,309
a nude lady is walking in front of a crowd in body paint,a young topless woman is covered in paint,neutral,624,310
a group of people is near the ocean,a crowd of people is near the water,entailment,625,311
a crowd of people is near the water,a crowd of people is far from the water,contradiction,626,312
a group of children in uniforms is standing at a gate and one is kissing the mother,a group of children wearing the same clothes is waiting at a gate and one is kissing the mother,entailment,627,313
a group of mothers in uniforms is standing near the children and one is kissing the gate,a group of children in uniforms is standing at a gate and one is kissing the mother,neutral,628,315
a man is in a parking lot and is playing tennis against a large wall,a man is in a parking lot and is playing tennis against a friend,neutral,629,323
a man is in a parking lot and is playing tennis against a large wall,there is no man pointing at a car,neutral,630,327
a man is in a parking lot and is playing tennis against a friend,a man is pointing at a silver sedan,neutral,631,329
a group of people is on a beach,a group of people is near the sea,entailment,632,331
a group of people is on a beach,a group of people is on a mountain,neutral,633,332
a man a woman and two girls are walking on the beach,four people are walking on the beach,entailment,634,333
a group of people is on a beach,four people are walking on the beach,neutral,635,335
a man a woman and two girls are walking on the beach,a group of people is on a mountain,neutral,636,338
a man a woman and two girls are walking on the beach,a group of people is on a beach,entailment,637,339
a schoolgirl with a black bag is on a crowded train,a girl with a black bag is on a crowded train,entailment,638,340
there is no girl with a black bag on a crowded train,a girl with a black bag is on a crowded train,contradiction,639,341
a girl with a black bag is on a crowded train,a cramped black train is on the bag of a girl,neutral,640,342
an asian woman in a crowd is not carrying a black bag,an asian woman in a crowd is carrying a black bag,neutral,641,344
a girl with a black bag is on a crowded train,an asian woman in a crowd is not carrying a black bag,neutral,642,346
a schoolgirl with a black bag is on a crowded train,an asian woman in a crowd is carrying a black bag,neutral,643,347
a dog is chasing another and is holding a stick in its mouth,a dog is chasing another and is holding a piece of wood in its mouth,entailment,644,351
two dogs are running and carrying a toy in their mouths,two dogs are running and carrying an object in their mouths,entailment,645,354
a dog is chasing another and is holding a piece of wood in its mouth,two dogs are running and carrying an object in their mouths,neutral,646,358
two dogs are running and carrying an object in their mouths,a dog is chasing a stick and holding another dog in its mouth,neutral,647,360
a dog is chasing another and is holding a stick in its mouth,two dogs are running and carrying an object in their mouths,entailment,648,361
a dirty soccer ball is rolling into a goal net,a soccer ball is rolling into a goal net,entailment,649,362
a soccer ball is not rolling into a goal net,a soccer ball is rolling into a goal net,contradiction,650,363
a person who plays soccer is kicking a ball into the goal,a soccer ball is rolling into a goal net,neutral,651,366
a soccer ball is rolling into a goal net,a soccer player is kicking a ball out of the goal,neutral,652,367
a soccer ball is rolling into a goal net,a soccer player is kicking a ball into the goal,neutral,653,370
a man is sitting on a chair and rubbing his eyes,there is no man sitting on a chair and rubbing his eyes,contradiction,654,372
a man with tattoos is lounging on a couch and holding a pencil,a tattooed man is on a sofa and is holding a pencil,entailment,655,373
a man with tattoos is lounging on a couch and holding a pencil,a man with tattoos is lounging on a couch and is looking for a pencil,neutral,656,374
a man with tattoos is holding a couch with a pencil,a man with tattoos is lounging on a couch and holding a pencil,neutral,657,375
a man is sitting on a chair and rubbing his eyes,a man with tattoos is lounging on a couch and is looking for a pencil,neutral,658,377
a man with tattoos is holding a couch with a pencil,a man is sitting on a chair and rubbing his eyes,neutral,659,378
a man is resting on a chair and rubbing his eyes,a man with tattoos is lounging on a couch and holding a pencil,neutral,660,379
a man with tattoos is lounging on a couch and holding a pencil,there is no man sitting on a chair and rubbing his eyes,neutral,661,380
a man with tattoos is lounging on a couch and holding a pencil,a man is sitting on a chair and rubbing his eyes,neutral,662,381
a brown and white dog is running through the tall grass,a black and tan dog is running through the low and green grass,neutral,663,387
a white and tan dog is running through the tall and green grass,a brown and white dog is running through the tall grass,entailment,664,390
a man with paint covered clothes is sitting outside in a busy area writing something,a man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,entailment,665,391
there is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,a man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,contradiction,666,392
a sitting man is busy writing something in an area covered by paint,a man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,neutral,667,393
a man is sitting near a bike and is writing a note,there is no man writing a note near a bike,contradiction,668,395
a man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,a man is standing near a bike and is writing on a piece paper,neutral,669,396
there is no man writing a note near a bike,a man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,neutral,670,397
a man is sitting near a bike and is writing a note,a man with paint covered clothes is sitting outside in a busy area writing something,neutral,671,398
a group of scouts are camping in the grass,a group of scouts are hiking through the grass,neutral,672,403
some people are walking,people are walking,entailment,673,404
some people are walking,a group of scouts are camping in the grass,neutral,674,409
a group of scouts are hiking through the grass,some people are walking,entailment,675,410
two men are taking a break from a trip on a snowy road,two men are breaking into a car during a trip on a snowy road,neutral,676,413
two men with bikes are on the side of a snowy road,two men with cars are on the side of a snowy road,neutral,677,415
two men are holding fishing poles and fishing tackle,two men are holding fishing poles,entailment,678,422
two men are not holding fishing poles,two men are holding fishing poles,contradiction,679,423
two men are holding fishing poles,two men are standing near the water and are holding tools used for fishing,neutral,680,427
there is no man standing near the water and holding fishing poles,two men are holding fishing poles,neutral,681,428
the helmeted girl is riding a bike,the helmeted girl is perching on a bike,neutral,682,434
a woman is performing a trick on a ramp with a bicycle,a woman is jumping with a bicycle,neutral,683,435
a woman is performing a trick on a ramp with a bicycle,a woman is performing a trick on a ramp with a car,neutral,684,436
the helmeted girl is perching on a bike,a woman is performing a trick on a ramp with a car,neutral,685,438
the girl with a helmet is perching on a bike,a woman is performing a trick on a ramp with a bicycle,neutral,686,439
the helmeted girl is riding a bike,a woman is performing a trick on a ramp with a bicycle,neutral,687,440
a woman is performing a trick on a ramp with a bicycle,the helmeted girl is perching on a bike,neutral,688,441
a blonds girl is surfing,a blond girl is riding the waves,entailment,689,442
a lady is surfing and riding a wave,a boy is surfing and riding a wave,neutral,690,446
a woman is surfing,a blond girl is riding the waves,neutral,691,447
a lady is surfing and riding a wave,a blonds girl is surfing,neutral,692,449
a blond girl waves while she is riding,a lady is surfing and riding a wave,neutral,693,451
two children and an adult are standing next to a tree limb,two children and an adult are not standing next to a tree limb,contradiction,694,454
two children and an adult are standing next to a tree limb,two children are climbing a tree,neutral,695,457
two children and an adult are standing next to a tree limb,two children are hanging on a large branch,neutral,696,461
a man dressed in black is riding a bike,a man is performing a trick on a bike,neutral,697,462
a man is performing stunts on a green bicycle,a man is performing a trick on a green bicycle,entailment,698,465
there is no man dressed in black and riding a green bike,a man is performing a trick on a green bicycle,neutral,699,470
a boy is holding a squirt gun,a child is holding a squirt gun,entailment,700,473
a laughing child is holding a water gun and getting sprayed with water,a child with a gun that sprays water is laughing and getting hit by other boys,neutral,701,475
there is no child holding a water gun or getting sprayed with water,a laughing child is holding a water gun and getting sprayed with water,contradiction,702,476
a child with a gun that sprays water is laughing and getting hit by other boys,a child is holding a squirt gun,entailment,703,477
two daschunds are playing with a red ball,two dogs are playing with a small red ball,neutral,704,484
two cats are playing with a red ball,two daschunds are playing with a red ball,neutral,705,485
two brown dogs are fighting over a red ball and are playing in the grass,two dogs are playing with a small red ball,neutral,706,486
there is no dog playing with a red ball,two daschunds are playing with a red ball,contradiction,707,489
the black and white dog is running and a person stands behind it,the dog which is black and white is running and a person stands behind it,entailment,708,491
a little dog is sprinting and the person who owns it is trying to catch it,a little dog is sprinting and its owner is trying to catch it,entailment,709,494
the black and white dog is running and a person stands behind it,a little dog is sprinting and the person who owns it is trying to catch it,neutral,710,496
the black and white dog is running and a person stands behind it,a little dog is slowing down and the owner is quitting chasing it,neutral,711,497
the black and white dog isnt running and there is no person standing behind,a little dog is sprinting and its owner is trying to catch it,neutral,712,499
a black person is running along a white stand and a dog barks behind him,a little dog is sprinting and its owner is trying to catch it,neutral,713,500
a man wearing a dyed black shirt is sitting at the table and laughing,a black shirt is being worn by a man who is sitting at the table and laughing,entailment,714,505
a man wearing a dyed black shirt is sitting at the table and laughing,there is no man wearing a shirt dyed black sitting at the table and laughing,contradiction,715,506
a laughing man is dyeing a shirt black on the table which you cannot sit at,a man wearing a dyed black shirt is sitting at the table and laughing,neutral,716,507
a black shirt is being worn by a man who is sitting at the table and laughing,a man is sitting comfortably at a table,neutral,717,508
a man is sitting and tables a comfortable discussion,a man wearing a dyed black shirt is sitting at the table and laughing,neutral,718,513
a man is sitting comfortably at a table,a man wearing a dyed black shirt is sitting at the table and laughing,neutral,719,514
a woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,a woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,entailment,720,515
a woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,a woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,neutral,721,516
a woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,the woman wearing silver pants pink bellbottoms and a pink scarf isnt riding a bike,neutral,722,522
a woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,the woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike,neutral,723,524
a woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,the woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike,neutral,724,527
a person who is riding a bike is wearing gear which is black,a biker is wearing gear which is black,entailment,725,528
a biker is naked,a biker is wearing gear which is black,contradiction,726,529
a black helmet is being worn by a man who is pushing a bicycle,one man is wearing a black helmet and pushing a bicycle,entailment,727,531
a biker is wearing gear which is black,there is no man wearing a black helmet and pushing a bicycle,neutral,728,535
one man is wearing a black helmet and pushing a bicycle,a biker is naked,neutral,729,538
the man in a grey tshirt is sitting on a rock in front of the waterfall,the man in a tshirt dyed grey is sitting on a rock in front of a waterfall,entailment,730,541
the man in a grey tshirt is sitting on a rock in front of the waterfall,there is no man in a grey tshirt sitting on a rock in front of the waterfall,contradiction,731,542
a woman is standing and isnt looking at the waterfall,a woman is sitting and looking at the waterfall,neutral,732,545
a woman is standing and isnt looking at the waterfall,the man in a grey tshirt is sitting on a rock in front of the waterfall,neutral,733,548
the man in a tshirt dyed grey is sitting on a rock in front of a waterfall,a woman is sitting and looking at the waterfall,neutral,734,550
there is no man in a grey tshirt sitting on a rock in front of the waterfall,a woman is sitting and looking at the waterfall,neutral,735,551
a woman is sitting and looking at the waterfall,a rocker is sitting with a tshirt that has a man over a grey waterfall on the front,neutral,736,552
a dog which is brown and a black one are running in the grass,there is no dog running in the grass,contradiction,737,555
a black man is running in brown grass and racing a dog,a dog which is brown and a black one are running in the grass,neutral,738,556
a dark black dog and a light brown dog are playing in the yard in the back,a dark black dog and a light brown dog are playing in the backyard,entailment,739,557
a dark black dog and a light brown dog are playing in the yard in the back,a dog which is brown and a black one are running in the grass,neutral,740,560
a dark black dog and a light brown dog are fighting in the backyard,a dog which is brown and a black one are running in the grass,neutral,741,561
