premise,hypothesis,label,original_index
"People lounge on the beach in beach chairs, on the sand, or near their four-wheelers.",A few people are sitting in beach chairs.,neutral,491957
Four guy friends working on a racer car checking to see if everything it working correctly.,four guys chatting about a race,contradiction,537855
Brunette uses her blue bowling ball to bowl at a bowling alley.,A person is playing tennis.,contradiction,534544
Children eye a castanhas street vendor's cart.,The children are outside on the street.,entailment,542814
Some girls are dressed in zombie makeup.,Girls dressed as zombie brides.,neutral,3722
An air force pilot is holding his daughter in his arms on a runway.,The air force pilot is dressed up.,neutral,438200
Women gathered around a table with food related items on it.,There is a group of men sitting around the table.,contradiction,342605
"This baseball player, dressed in red and white uniform and holding a bat, is falling after being hit by a pitch.",Nobody has a bat,contradiction,335714
Streets are lined with people watching lots bicyclists drive by.,Some cyclists are outside.,entailment,526153
People hang upside down as a roller coaster executes a spiral loop-the-loop.,Most of these people are on the verge of throwing up due to hanging upside down on this roller coaster.,neutral,49255
Colorful clown with whistle manipulating balloon.,A clown with a whistle and balloon.,entailment,357374
Community gathers outdoors together and wear bunny ears.,Community event outdoors.,entailment,189629
Four businessmen waiting at a outside food stand.,The women are inside at a meeting.,contradiction,354802
Drummer playing drums quickly.,The drummer plays quickly,entailment,242027
The flag of a country is being held in a crowd,Nothing is being held,contradiction,311771
A dentist's office; two dentists in blue uniform are working on a patient's mouth.,A person working,entailment,158751
A contortionist is doing a move on stage for people.,A person bends their body unlike most people.,entailment,260769
A spots team hugs after a play.,The team fist bumped after making the play.,contradiction,352314
Dark-skinned male in leather jacket sleeping.,A black guy is pretending to sleep.,neutral,88965
Person watching a child as they play.,The child is playing,entailment,182373
"Overweight man with beard in white shirt holding a drink at a bar, dancing.",A man dancing while holding a drink.,entailment,324438
Horse riders galloping to the finish line.,The riders are moving toward the finish line.,entailment,414422
"Women, children, and animals in a small village.",People and animals in a village.,entailment,98360
Man teeing off on a golf course with a large building in the background.,A man playing golf.,entailment,215647
"A redheaded, heavily freckled, caucasian woman sits, eating chips.",The woman is sitting,entailment,429153
Professional bicyclist hopping off outside stairs.,The professional bicyclist showed off by doing tricks on the stairs.,neutral,175953
The night sky in the desert.,The day sky in the desert,contradiction,207090
A four-year old boy has just taken a swing at a ball on a T-ball mount and the ball is on the ground behind the plate.,The little boy is playing T-ball and attempting to hit the ball.,entailment,364251
Two maintenance workers paint a bench outdoors.,Tall humans painting.,neutral,113858
During this wedding family tries to find the solution to a problem.,family solves problem at wedding,entailment,319690
Surgeons are performing surgery on a patient.,patients are sleeping,contradiction,138288
A latina women with flowers in her ear is dancing while a latino man plays guitar in the background.,The woman is dancing while a man plays an instrument.,entailment,482320
Two similar brown dogs share holding a white toy while swimming.,two dogs playing indoors,contradiction,150267
Women workers in a produce market in a foreign land.,The woman work in a different county.,entailment,304413
Customers stand in front of and talk with representatives sitting at desks with computers.,Representatives are busy taking calls.,contradiction,117064
Asian policemen are transporting a helpless woman away.,The police take a woman to the station.,neutral,216143
"Blond caucasian male in black t-shirt and cargo shorts, holding a professional digital camera, taking pictures.",A man is taking pictures.,entailment,173993
This bathtub is not staying in the old house.,The bathtub is in the house.,contradiction,97461
A Russian bicyclist is riding with his head down.,A man is on a red bike.,neutral,102236
"An adult, who is holding an umbrella, is walking down the sidewalk along side a child.",There is an adult and a child walking outside.,entailment,466715
Am older person wearing a blue jacket sitting on a bench eating an ice cream cone.,The old man is sleeping.,contradiction,463504
Woman wear scarf and bright clothing as she knits.,A woman is knitting.,entailment,220916
"While many people are seated on a set of stairs, a single file of formally-dressed people proceed up another staircase.",There are people sitting and walking on the stairs.,entailment,225023
People watch a musician play the guitar.,People are listening to music.,entailment,290205
5 women and 1 man are smiling for the camera.,A group of people are frowning in front of the camera.,contradiction,38418
child with a green apple in his mouth is wearing a red life jacket,The child is not wearing anything.,contradiction,308479
some physical event that requires more work after swimming in a pool,Boys diving into swimming poo.,contradiction,173337
Four muzzled black and white dogs racing over a jump.,Four puppies play in the backyard.,neutral,430590
Musical performers pose and emote on stage.,Musical performers pose on stage.,entailment,279197
Football team hard at work.,The football team is working hard.,entailment,229325
Two local women walking past a green building.,The women are getting ready to enter the green building.,neutral,379703
Passengers on public transportation listening to music through portable devices.,The people are listening to music.,entailment,255903
Girl gives treat to jumping dog.,A girl giving a treat to a dog.,entailment,243591
Skater riding skateboard on a quarter pipe while the crowd watches.,Skater sitting on the grass.,contradiction,240107
The team of men are playing a game in the sand.,A group of men train in the sand,neutral,496119
White lounge chairs are lined up at a resort for sunbathers.,the chairs are black,contradiction,411768
Motorcross jumper in mid-flight beneath a gray sky.,A motorcross jumper participates in an activity in the rain.,neutral,164853
five teenagers cheering in a living room,Five teens are chasing after a man who robbed the store.,contradiction,438144
Lifeguards teaching swimming lessons to local children at pool.,People at a pool.,entailment,516305
Photo of an African-American child sitting on a toy horse.,A child sits on a toy horse,entailment,77756
Several Japanese motorcycles are lined up.,The bikes are being sold.,neutral,98809
A contraction vehicle being inspected.,The vehicle will pass inspection.,neutral,439496
A grade school soccer game.,A grade school game is going on,entailment,338322
"two adult women, one wearing an umbrella, and a little girl walking on a bridge.",Three people hold hands on a bridge.,neutral,530440
"So many people came out with their sweatshirts, blankets and hats that very cold November night.","So many people came out with their sweatshirts, blankets and hats for the witch trial.",contradiction,181080
Women competing in the race are trying to pass the woman in orange shirt which is in the lead.,A tall person racing,neutral,532372
Two crouched men are working on an high construction site.,Two men are welding a beam high up in the sky,neutral,67945
Many buildings and stores are shown with cars and people on the sidewalk and street.,People are in a city filled with buildings and cars.,entailment,349940
Firefighters at a scene with a firetruck that has it's lights on.,Firefighters help at the scene,entailment,299943
Pale woman holding umbrella over her and a man.,Two people are under an umbrella.,entailment,444282
People search for their seats in a stadium.,People are sitting at home.,contradiction,18405
Someone grinding stones with a pestle.,A person is grinding pieces of rock together in a bowl.,entailment,450961
woman drilling a hole in a rock covered in blue squares.,A man is dancing,contradiction,202761
Several beachgoers are reclining near upside-down boats.,several beachgoers sunbathe near the ocean,neutral,297776
People go to the beach on a cloudy day.,People go to the beach when it is nice out,neutral,184526
Fair haired child peers into the top of an orange road traffic cone.,An angry child peers into the top of an orange road traffic cone.,neutral,98480
Yound people make goofy faces for the camera.,Some people are acting silly,entailment,64699
Men skiing.,A man is skiing.,entailment,53028
A rumpled-looking man carries a bundle of logs in front of a jungle.,The man is strong,neutral,133380
Nueske's Meat Specialties table near a lake.,A picnic table near a lake has meat on it.,contradiction,469461
"Whole families, including children, donned hard hats to observe the rig on the edge of town.",the is construction going on,neutral,295553
a restaurant setting inside a building where people are currently dining.,People are eating at an outdoor table.,contradiction,23596
a old woman sits on a bench next to her cane.,"The cane is black, and the bench is brown.",neutral,370676
One technician in a blue shirt sits down at his station to begin work.,one worker sits at his station,entailment,100178
People cooking food at a busy and crowded festival.,People are being served food at a festival.,neutral,455368
boy playing guitar in rocker clothing.,Teenage boy playing old guitar in rocker clothing.,neutral,218789
Gentlemen exercising on a city street.,A man jogs.,neutral,189778
family sits on beach with a blue cooler.,The family are drinking fruit juice.,neutral,545813
Street view of an Asian food cart at night with a customer waiting for his dinner.,A customer is ordering dinner at night.,entailment,299550
Train station with construction going on.,Train station is destroyed.,contradiction,297518
A five-man brass group playing inside a church.,The band is performing at a wedding,neutral,184584
Reporters are getting out of a mini-van.,These people were in the vehicle.,entailment,277235
Nine teenagers leaning over a railing looking at the view of a city.,The city is being viewed by nine teenagers.,entailment,214707
"A bird, wings outstreached, over the water.",The bird is in a nest feeding its young.,contradiction,21619
a determined girl is hitting a volleyball,The girl plays volleyball on occasion.,entailment,538957
Two toddler boys sharing a baby swing at dusk.,Two boys are playing basketball.,contradiction,230380
Motocross Riders racing to the finish line.,People racing to the finish line.,entailment,113787
Backpackers are walking along a trail,Backpackers are riding their bikes along a trail.,contradiction,285883
Two girlfriends smiling.,Two girls running as a dog chases them.,contradiction,267593
Two mountain-climbing hikers ascend a rocky path through patches of snow.,The mountain is tall and cold.,neutral,342230
People listening to a choir in a Catholic church.,People are in mass for a first communion,neutral,167
A cow lies on a walkway between two rails as some people relax nearby and a woman walks away.,A cow lies between two rails.,entailment,145582
"a martial arts class takes place in Ourense, Spain.","A karate class takes place outside in Ourense, Spain.",neutral,213399
Couple looks for their seats at sporting event.,A man and woman sit on a couch with a bowl of popcorn to watch the Spurs win again.,contradiction,18460
actor Jackie Chan signing autographs for eager fans.,Jackie Chan is attacking his fans.,contradiction,236304
An unkempt frowning old man with white hair is sitting in front of a chain-linked fence.,the man had brown hair and was driving the bus all day,contradiction,470465
Menus describe items available and blenders are seen with freshly mixed drinks.,This food cart sells freshly blended fruit and vegetable smoothies.,neutral,438559
A pole vault athlete getting to get up to pass the bar,Nobody is here.,contradiction,467604
The bird's feet are grasping the window tightly.,the bird is flying to his nest,contradiction,267376
Sonic employees talking about work.,The employees are talking.,entailment,14709
Teenagers smoke cigarettes in a field.,Youths are outside smoking cigarettes.,entailment,97807
"Catcher on the ground, runner making base.","Catcher on the ground, runner making base, pitcher throws a curveball.",neutral,283220
"So many people came out with their sweatshirts, blankets and hats that very cold November night.",A large group of people are bundled up on a cold night.,entailment,181085
The donut vendor is making money at the carnival.,The vendor is making money outside.,entailment,82961
child's playing a bicycles,These children just learned to ride bikes this month.,neutral,516772
Tehse people are exercising using the Oriental Ti Chi.,Students being taught sports.,neutral,168548
A cream pink colored tree shrouds a child's playground while someone reads the newspaper on a bench.,A man is reading the newspaper next to an empty playground.,neutral,380601
The passengers are leaving the airplane by a stairway.,The people are entering the plane.,contradiction,189732
"Bright blue car going down a dirt road, as onlookers watch.",The blue car is creating a cloud of dust.,neutral,141148
People lounging on a patch of grass next to a wall.,People sitting on the grass.,entailment,364346
"A paintballer, is ducking under a red barrier.",Someone is watching paintball on tv.,contradiction,400479
"Children, one with a stick, and six petting a dog with a blue leash.",Children pet a dog as reward for fetching a stick.,neutral,469563
two ladies in the kitchen cleaning glass.,Two ladies are cleaning.,entailment,139085
Friends or family joined together at a barbecue.,Friends and family gather for a birthday barbecue.,neutral,374548
a girls laying down at the grass,girls laying in the grass on a hot summer day,neutral,447523
People either standing or sitting waiting in a subway.,A group of people are gathered in a subway station.,entailment,168409
Two spokesmodels in front of a hotrod.,Two models by a hotrod.,entailment,241366
Several mothers carry their babies through the unpaved roads of their village.,The mothers are taking their children through the streets of the village.,entailment,434684
Team of migrant workers pull together to gather the days fishing haul.,Men are disembarking an empty fishing boat.,contradiction,385930
Girls adverting a car wash.,Girl needs a car wash.,entailment,434576
"Two of the members of Lynyrd Skynyrd are performing on stage playing guitar in front of a sign that says, ""Lynyrd Skynyrd, God and Guns, World Tour""",The band is playing music.,entailment,248110
Women making clothing by hand.,Women are making their husbands' shirts by hand,neutral,128894
Blue semi truck and two gentleman standing in front of it.,Humans standing,entailment,127154
A calm street corner with a man sitting on a stool looking at something on a small platform.,A man is sitting on a small step.,neutral,316970
Old men stand on the street.,There are men in the street.,entailment,131440
The Amish group is standing by the fence.,An Amish group is gathered outside by a fence.,entailment,226687
Yound people make goofy faces for the camera.,The people are at Disneyland,neutral,64698
warm up for football game.,People are getting ready to play baseball.,contradiction,37275
Laying on a couch in Ikea,Some people are trying out a couch in the store.,neutral,410642
Soldier looks at digital camera as a child with juice box looks at him through shades.,A child hides from a soldier.,neutral,206477
An alternatively dressed woman stands on a small wooden platform with an accordion and watches another creatively dressed woman play the violin with various other people on the street behind them.,The woman are riding bikes in the park.,contradiction,112260
an event or race with a crowd on the side lines.,a crwd on the side line,entailment,124600
Man brewing and drinking coffee.,man drinks coffee at cafe,entailment,452540
Snowboarder performing a trick high in the air over snow.,A tall human snowboarding,neutral,138962
Civilians are near the water and are walking down the lane.,People are walking.,entailment,488886
Long line of people on a sidewalk near a cruise ship.,There is a long line of people at the grocery store.,contradiction,546075
"Very busy store, lots of people, they sell Carnhart.",The store has a diverse customer base.,neutral,223697
kid doing tricks on a skateboard,The kid is in a skateboarding contest.,neutral,427357
Woman lining up a photo shoot.,The woman is a casting agent.,neutral,360678
Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him.,A man is standing behind a boy at the rockwall.,entailment,540884
One yelling child with a neon green 5.00 sticker on his nose.,A child pretending he's for sale.,neutral,273718
Utility worker cutting down a tree branch in his boom truck.,A worker cuts a branch from an oak tree.,neutral,427816
"Two Little Boys, playing on a Merry-go-round.",The little boys are learning in class.,contradiction,150524
"Two redheaded boys with glasses stand on bench, play swordfight with sticks.",Two boys play on the beach.,entailment,264229
What's a trip to the park without visiting the snack bar?,A person is not at the park,contradiction,128661
Motocross bikers ride their bikes high over a dirt mount.,The bikers rode their bikes over a high over a dirt mount.,entailment,133956
An important older man gives a speech to reporters.,The aging Mayor gives a press conference about crime.,neutral,32279
Two rockers smile to fans while on stage.,"Excited for their first performance, the two smiled to the fans.",neutral,471303
Distorted photograph of a child at the bottom of a slide.,The child slid down the slide.,neutral,302702
Snowboarders do tricks on mountain.,A snowmobile going down a hill,contradiction,469736
A heterosexual couple walk under an umbrella in the rain.,A gay couple sit at a cafe under an awning.,contradiction,413806
Workers at a Starbucks restaurant show off their facilities.,People are working with food.,entailment,9649
A daschund with an open mouth appears to bark at a bubble making machine in the grass.,the dog is angry at the machine,neutral,419558
"The drunk man in the gray shirt is attempting to drill into a keg of beer, while another keg awaits.",A man is tapping a keg.,entailment,175068
The menu for this restaurant is on the wall.,A restaurant menu featuring chinese food is on the wall.,neutral,264402
A gold medalist is celebrating his win next to his teammate with cameras surrounding him.,man wins olympic gold,neutral,451196
A crosscountry biker with helmet and sports gears (green and black) is jumping in the air with his bike that has dirty tires.,A biker fears for his life while performing an ariel maneuver.,neutral,67405
"While in Switzerland, a man in a blue sweater waits forlornly and has a beer.",A man in a magenta sweater sits happily in Switzerland with his beer.,contradiction,467188
Young karate participants sparring competitively.,they are sitting quietly,contradiction,412016
"Performers dressed as a princess, deer, table, and a hooded figure interact with each other.",There are people performing a scene.,entailment,8011
A chain through whole where a man can be seen at a work site.,The man is inside his house.,contradiction,400485
A frowning elderly person is walking and carrying a plastic bag,A smiling woman is walking with a plastic bag.,contradiction,294140
Daredevils enjoy mountain boarding down the ravine.,Daredevils enjoy mountain boarding down the ravine for the fifth time today,neutral,445939
newly married couple having their first kiss.,A man drips paint on his driveway.,contradiction,415924
Children rock climb as their mothers take a break.,Mothers rock climb as their children take a break,contradiction,302391
War protesters at a rally with a sign.,The war protesters were Israeli.,neutral,179717
Playing tee ball is such fun for this little boy.,A kid enjoying playing ball,entailment,311999
Working on laying cement blocks is hard work.,Men are dancing,contradiction,131385
A poverty stricken housing area with a lady in black with white headdress in the distance.,A lady is in a poor part of town.,entailment,321971
Hungry people are shopping for food.,People at the movies,contradiction,266088
"A Black man in a knitted cap and dark jacket is working with complicated machinery to prepare drinks for green, red, and white cups.",A thief in dark clothing is stealing jewelry from a store.,contradiction,162422
Two confused ladies standing around after an event.,There was an event.,entailment,430104
Protesters gathered in government building protesting air quality in Utah.,protestors in Utah at government building,entailment,520697
Workers repair a section of road.,Workers stand on a ladder to repair the roofing of a building.,contradiction,130055
"Biker number 7065 waves during a race, while another biker rides to catch up.",people on bikes,entailment,391044
A dolphin above water,There is a dolphin.,entailment,224526
"As we look though a brick archway, we can see a garden party going on with many people dancing and talking.",People are celebrating their friends' anniversary.,neutral,483746
Side view of a mountaineer walking into strong headwinds.,A man outside.,entailment,381276
A lock box on a pole with the keys in it.,A blue lock box  attached to the side of the house.,contradiction,117984
"Performing some bike maintenance, the lady lubricates a frame before assembly is completed.",The woman is a framebuilder.,neutral,107771
These boys are at Memorial Primary School.,Boys are at school.,entailment,165308
A ginger woman and a blond woman eat ice cream cones atop a bridge.,Two brothers have ice cream at Dairy Queen.,contradiction,20235
Number 24 feels it is his turn to score the soccer ball.,Number 24 got chance to score the soccer ball.,entailment,218815
"Dancers aligned in front of each other so only arms are visible behind the front woman, performing outdoors.",A group of men perfom a ballet routine.,contradiction,39787
Smartly dressed Asian women are passing by a doorway in the street.,The women are professionals.,neutral,53943
boats out on the water on a foggyday,The boats are in the fog.,entailment,182223
Runners sprint toward the finish in a track meet.,Runners are running in a track meet.,entailment,411716
Chefs are gathered in the background and someone is over an open flame cooking meat.,Everyone is asleep,contradiction,230074
two humans climb a building while a crowd of onlookers cheer them on,there was a crowd watching outside,entailment,480730
Too older people with baskets.,A dog with a bone runs in a driveway.,contradiction,6323
chefs on a balcony take a break from work,Chefs are busy working in a kitchen.,contradiction,448817
Heavy machinery in use at a factory.,The heavy machinery is off and the workers are going home.,contradiction,85686
black guy trying to make some fresh barbecue.,The guy is white.,contradiction,304268
people of all ages participating in a enacting of a war scene while it's raining.,People reenact the revolutionary war on a sunny day.,contradiction,412947
"A chubby, redheaded child swings a bat at a ball on a tee.",The chubby redheaded girl is swinging the black bat at the tee ball.,neutral,61794
"Two divers, wearing scuba gear, encounter a dolphin.",There are divers outdoors swimming with dolphins,neutral,516065
"girl and a boy, playing tennis.",A girl and boy a having fun,neutral,106202
children wearing black and white are performing.,The teenagers in black and white are performing.,contradiction,474968
"Whole families, including children, donned hard hats to observe the rig on the edge of town.",the families are apart of the construction crew,contradiction,295551
The maroon team faces off against the yellow team at the line of scrimmage in a youth football game.,The teams are both muscular,neutral,169879
Opposing players challenge each other in a game of ultimate frisbee.,The people are outside having fun.,neutral,343656
A telephone repairman looks down from above while repairing his lines.,Another man is helping a man repair the telephone lines,neutral,58761
Man are standing on scaffolding and working on a building.,Men are standing.,neutral,241737
smiling girls in bathing suits sitting on the sand,"Girls are naked, frowning.",contradiction,24110
A bicylist riding in the mountains.,The bicyclist is outside in nature.,entailment,130505
Two ice hockey players fight with their gloves off while a referee looks on.,Hockey players fight over a woman.,neutral,152927
Men stand on horses.,Men are riding horses.,entailment,512726
the local kids are having a footrace.,Fast humans racing,neutral,102204
"Two seagulls on water, foreground bird has object held in beak.",Two birds fly through the sky.,contradiction,505828
"The University of Iowa's Hawkeyes football team, scores a goal in the end zone against the Michigan State Spartans.",The football team scored a goal.,entailment,471035
This surfer is enjoying the waves on a sunny day.,The surfer is wearing a wet suit.,neutral,486484
Man rides on bicycle as other people walk.,A man is engaging in a sports activity.,entailment,272375
"Young gymnast holding onto a horizontal poll, with someone else holding her left arm.",They are going home from practice.,contradiction,26746
Teacher and school children work on art projects.,A teacher and school children are on a trip making art projects.,neutral,28340
Man gently holding newborn baby.,The man watches the baby sleep in a crib.,contradiction,532667
Three baseball players are on the field while a large crowd is watching,A crowd is watching basketball,contradiction,534165
Guys on the roof doing their work.,30 guys are on the roof working.,neutral,349669
"Two tanned white women on a beach, one wearing a blue bikini and about to hit a beach volleyball, the other standing in the back wearing a pink bikini.",Two women playing volleyball on a beach.,entailment,79689
country people chatting outside.,the people are women,neutral,411993
School field trip with many children having fun taking pictures.,A man is throwing things at some children.,contradiction,48866
A women sitting at a fancy table looking at her food. A man standing next to the table.,A dog is eating food from the table,contradiction,520543
Appears to be an African tribe or family posing for a picture in the grasslands with a dog in the corner.,Someone is posing.,entailment,68766
Man trying to talk to the driver of truck through the passenger window.,The man in the truck is driving away.,neutral,455380
Five photographers take pictures while one works on their equipment.,The photographers work for newspapers,neutral,548220
Male runner in blue is ahead of two other runners on a track.,The people are on a track.,entailment,221562
Business attired man having a shoeshine on a busy street.,A businessman is walking on the street.,contradiction,525344
Tourists wandering in front of a building with pillars.,Visitors move past a structure.,entailment,342112
Everybody is dressed as a zombie at this party.,They are at a Mad Men party.,contradiction,79631
Military trainees in a rubber raft hook a ladder onto a larger boat.,The militants have a raft.,entailment,324677
Parishioners enjoying themselves at a church dinner.,They all gather for the easter dinner.,neutral,12644
The marching band practicing outside during the night.,A marching band practices outside.,neutral,59459
A traffic jam is created by bikes and cars.,A car hit a bike which caused a traffic jam.,neutral,519883
Racks of plants at the farm products store.,The plants are indoors.,neutral,520242
A basket player is scoring.,A person put the ball in the hoop.,entailment,406106
Barbers inside a barber shop is cutting hair.,"The barbers are really cold, angry butchers.",contradiction,458963
Woman lying face down on a matt in a yoga pose in her art studio with natural light from a nearby window shining in.,the woman is lying down,entailment,12154
Pretty young women out for an evening of fun with friends.,The women have friends.,entailment,431366
One white dog and one brown dog playing with a stick.,The dogs are playing in a field,neutral,20494
"A solider in a tan uniform is sitting outside of a building, keeping watch.",A soldier is keeping watch for enemies.,neutral,47316
A Child hits a baseball into a net.,A child hits a ball.,entailment,545923
sunbathers on benches on boardwalk at the beach.,People are relaxing.,neutral,375727
two boy scouts filling bucket with water from a sink,Boy Scouts filled a bucket to put out a fire.,neutral,28151
Guy playing banjo in the park as a duck enjoys the music.,A man playing a banjo as the AFLAC duck dances to the tune.,neutral,132943
Some girls dance while waving gauzey fabric.,The girls are practicing a dance.,neutral,186349
Chubby redhead child reads birthday card.,child reads card,entailment,445665
One women in black jeans and a bikini throws her hand in the air while on the beach.,Nobody has jeans.,contradiction,218187
A racetracks pit stop and it's crew.,The kids play ball.,contradiction,312481
Cyclist biking down a steep path.,People riding bikes.,entailment,240362
Volunteers meeting with the locals.,Locals and volunteers have gathered,entailment,25195
The weather looks clear.,It was raining outside.,contradiction,520519
Four small children playing in the sand and showing off their old food containers they are using to play in the sand.,Four small children play in the sand with food containers.,entailment,309632
"7 runners race down a orange track, as the LCD displays denotes it as a distance of 400 meters.",Seven runners are on the track.,entailment,38278
AN old man with a beard is speaking into a microphone.,The man is speaking to a crowd.,neutral,121675
Two contest runners running down a wet street.,Two contest runners are walking on a dirt road.,contradiction,346030
Four distant figures walking through a cultivated field.,People are in a field.,entailment,98522
A crosscountry skier following a path.,The skier is in the snow.,entailment,209375
Greyhound running on track with blue vest with a white numeral two.,A dog is sleeping on the floor.,contradiction,197443
Ice skater taking a hit by another player.,a player took a ball and hit the ice skater with it,neutral,100561
"Sparks fly as a man in a protective mask, works on rusty metals.",There are no sparks.,contradiction,440356
Woman laughing while taking a picture of a horse.,The horse is doing funny things.,neutral,29909
Bronislaw Komorowski's campaign sign floats above a McDonald's.,A hurricane is demolishing the town.,contradiction,481544
The photographer is holding up a disc that has an image on it that looks similar to the gentleman he is taking a picture of.,A photographer is taking a picture.,entailment,451719
Runner getting ready to sprint.,A man is walking in the park.,contradiction,364817
Four large men are eating together in what looks like a food-eating contest.,The annual hot dog eating contest begins with last year's champions.,neutral,343188
"The fat, old man falls asleep in the chair.",The man is sleeping on the bed.,contradiction,179047
Collie jumping over a training hurdle that is on the grass.,There is a dog in this picture.,entailment,309005
Bill Gates and Steve Jobs sitting in red chairs beside each other.,They are sleeping.,contradiction,385258
Watchers of a parade remain seated while others walk the street where the debris remains.,The people are eating.,contradiction,488140
Many kids in white shirts are walking through a neighborhood.,A group of children running around the neighborhood.,neutral,444992
Girl making gesture while sitting on train.,Girl is outside,entailment,80286
Three dolphins are jumping out of a pool in front of a crowd of people.,The dolphins are talking on their cell phones.,contradiction,9888
Marathon on wheels to help victim of breast cancer.,The marathon is helpful.,neutral,234002
lady holding black purse walking past a glamour store.,A young man with a backpack walks past a glamour store.,contradiction,92327
Photo of an African-American child sitting on a toy horse.,A boy on a toy horse.,neutral,77755
Man prepares to throw frisbee in park.,The man prepares to throw some bread crumbs for the birds in the park.,contradiction,125222
Hikers cross a bridge over a fast moving stream and rocky scenery.,People are boating on a river,contradiction,497828
The shadow of two men on rigging.,We see the shadow of two men climbing ropes.,neutral,48184
Clown with red-hair pretending to cry.,Clown pretending to cry.,entailment,293306
Distracted guy on cellphone walking.,A guy talks on his cellphone.,neutral,328881
"Two firefighters, fully dressed for action, walking on a busy street.",Two firefighters use hoses to put out the fire.,contradiction,59829
man sprays sand image of a man.,The sculpture depicts a one-celled organism.,contradiction,413023
bull rider in texas getting thrown from a bull,A guy riding a pony,contradiction,420988
"On shore near brown water, boy holds object beside buckets of rags.",The boy is standing near the water.,entailment,129215
Children riding on a camel by a body of water.,Children riding on a camel.,entailment,443085
three bikers stop in town.,Bikers stop in towns,entailment,232
Four friends are participating in a parade.,four people on 4th of july,neutral,90772
A dazzling array of sparks fly about.,Sparks are flying because lightning hit a transformer.,neutral,515358
Security officers are inspecting women traveling through a checkpoint.,Security officers are sitting around eating hamburgers.,contradiction,163858
Multiple walls and decks filled with different kind of writings.,The museum is full of ancient writings.,neutral,268635
Grandfather and grandchild walking down a path.,A grandmother and granddaughter are walking on the beach.,contradiction,243436
"A downtown city street complete with buses, traffic and people on the street.",There are bunch of people trying to do some shopping.,neutral,342850
The boardwalk is very brightly lit by restaurant signs at night.,The street is pitch black.,contradiction,519512
one person performing a show in front of a large audience sitting on the lawn,There is a group of performers.,contradiction,547019
The journey is temporarily delayed by mechanical malfunctions.,Due to problems the journey can not continue.,entailment,19220
A balloon artist is showing his work to two young children.,A man is making balloon elephants.,neutral,256639
Men supervise the lifting of a sign.,Some guys are watching a sign be put up.,entailment,455889
Young chefs are arranging food in a kitchen.,the chefs are asleep,contradiction,79549
Young gentlemen jumping up on a walkway that also has 3 chairs and a table.,A person standing on a walkway.,contradiction,410958
"Carrying a large basket, a man navigates his way through the street.",The people are working in the field.,contradiction,243340
Boys dragging a monkey on the African plains.,The boy is on vacation and playing with a monkey.,neutral,17273
"Four asian men are looking at something, with one on a cellphone.",An asian couple is smiling and holding hands at a secluded cabin.,contradiction,437750
Single black male riding a bike with a basket on the back that says coca-cola on it.,A male rides a bike with a basket.,entailment,25589
waiting for someone on the street.,Someone is outdoors in the rain.,neutral,210880
On rainy streets a motorcycle with two helmeted people stops for a white car.,Nothing has stopped.,contradiction,37112
man holding harness waterskiing,The man is holding the harness while going down the highway.,contradiction,522940
Young swimmers gather for a pep talk.,Young swimmers gather for a pep talk from their captain.,neutral,192871
"This Lady might be ready for Rock Climbing, or just watching the Clouds, above.",The lady wants to be productive.,neutral,366409
An olympic contender from China is struggling to lift a barbell.,An olympic contender from China is struggling to lift a barbell that is twice his weight.,neutral,66304
Brown-haired woman walking and staring at camera.,Woman sitting on a bench.,contradiction,15406
A mob of people wait in line to order food.,People cooking dinner at home.,contradiction,80378
"Cars, tents, and people are in a large green space near a mountain.","Cars, tents, and people are in a large space near a mountain.",entailment,222059
A 90-year-old woman blows out the' 9' and' 0' candles on her birthday cake at the dinner table.,It's the 90-year-old woman's birthday.,entailment,480306
Many friendly riders in a bus enjoying each others company.,The people are walking on foot,contradiction,258200
Children fishing off a bridge,Children are fishing from the bridge.,entailment,137697
boy pushing wagon with two pumpkins in it,A boy pushes a wagon through the market.,neutral,73338
A hummingbird hovers in the air.,There is a hummingbird in motion.,entailment,497483
A lumberjack with an orange helmet riding a crane lift to chop down a tree in a snowy forest.,A lumberjack cutting down a tree to make room for others to be planted,neutral,124875
Two kayakers; one paddling and one in the water.,The kayakers are in the waters,entailment,323501
Booths at a carnival,This takes place inside the kitchen,contradiction,137844
"An energetic boy, indoors, in glasses, orange-and-white shirt, maroon pants, and blue socks is caught mid-leap in the air, while a maternal female in the background stands watching.",A boy with glasses sits on the floor and a woman in the background is watching.,contradiction,149096
This women's husband is trying to be funny and making her day a lot better after their vehicle breaking down.,"A man and woman are broken down on the side, with the man entertaining the woman.",entailment,123673
Culinary judge announces as he opens dish.,The judge announces the TV show.,contradiction,363771
Several Israeli men standing in the middle of a busy intersection.,Men stand in the middle of an intersection.,entailment,292867
Stopping at a red light.,There is a person in a car waiting for the light to change.,neutral,140886
A Violinist plays as he is decorated as a clown.,A violin sits in a window next to a man in a bear costume.,contradiction,502346
Shoppers walking across the street in a city.,Pedestrians are walking hurriedly to work.,contradiction,282170
An Sooners football player eluding the tackle of two Huskies defenders.,Some people are playing football.,entailment,374646
"college aged students playing in a puddle of water, most dressed in red.",The college kids are sleeping in today.,contradiction,498767
"The cars are on a track, in the rain, at night.",The automobiles are wet.,entailment,47516
