premise,hypothesis,label,o_index
a domestic dog in a colored coat is running swiftly across the pace,a domestic dog in a colored coat is running across the pace,entailment,1369
a adult female is looking curiously at a adult male,a adult male and a adult female are outside and are wearing visible light colored shirts,neutral,1370
a little girl is smiling and running out of the house,a girl in a white dress is running,neutral,1371
a dead bird is near a black adult male sitting on a tree,the black bird is sitting in a leafless tree,neutral,1372
some people are singing,a few people are singing,entailment,1373
the piano is being played by a man,a woman is playing the violin,neutral,1374
someone is scratching the venter of an fauna,someone is stroking the venter of an fauna,entailment,1375
there is no male child walking across a span,a adult male is walking slowly across a rope span,neutral,1376
a brown and black domestic dog is running through the leaf,a domestic dog and a black adult male are running through brown leaf,neutral,1377
a male child is running through the sand,a male child wearing a striped shirt is running shoeless on the sandy hill,neutral,1378
a adult male is dancing,a male is dancing,entailment,1379
a race driver in full cogwheel is wearing a helmet with patron logos and is riding a red athletics bike,the snowboarder is jumping off a snowfall covered hill,neutral,1380
three men are practicing karate outdoors,three boys in karate costumes are fighting,neutral,1381
a bunch of four brown dogs are playing in a field of brown grass,four dogs are not playing in a grassy country,contradiction,1382
there is no tan shinny kid looking at the photographic camera,a tan shinny kid is looking at the photographic camera,contradiction,1383
two small children are playing with a toy car in the street,a dog is running through a field and is chasing a toy,neutral,1384
a yellow domestic dog is running on white snowfall on a very sunny solar day,a tan domestic dog is running through the snowfall,neutral,1385
four people are walking on a span over a river,several people are walking in line across a span,neutral,1386
three young men are running jumping and kicking near a vending machine,three men are jumping on a wall,neutral,1387
some cheerleaders are taking a interruption,a female cheerleader is sitting on the genu of a adult male,neutral,1388
a woman is dancing,a man is puking,neutral,1389
a mortal with a red hooded jacket and a black back pack is walking near a rocky wall,a mortal with a red hooded jacket and a black back pack is not walking near a rocky wall,contradiction,1390
several women are taking off pink bunny girl ears and are pointing to the left,women are wearing bunny girl ears and race numbers and are pointing at something in the distance,neutral,1391
a adult male is packing a fiddle,a adult male is playing a harp,neutral,1392
a male child is saying a word,there is no infant talking,neutral,1393
several swimmers are dashing into the water,several swimmers are jumping into the water,neutral,1394
a girl is playing a guitar,a male child is playing a guitar,neutral,1395
a male child next to some buckets of rags is holding an physical object,a male child next to some buckets of rags is not holding an physical object,contradiction,1396
the adult male is standing on a rocky mount and gray clouds are in the background,a fully dressed mortal is behind a mound of rocks and a clear sky is in the background,neutral,1397
a large gray ball is hitting a running domestic dog which is carrying some grass in its mouth,a large domestic dog is running on the grass with a lawn tennis ball in its mouth,neutral,1398
a true cat is playing with a watermelon vine,one true cat is playing with a watermelon vine,entailment,1399
a kid in orange is playing outdoors with a abronia elliptica,a child in orange is playing outside with a abronia elliptica,entailment,1400
a domestic dog is swimming after a lawn tennis ball,a true cat is swimming after a lawn tennis ball,neutral,1401
there is no adult male reading the e-mail,a adult male is reading the e-mail,contradiction,1402
the lady is adding cheese to the sauce,the woman is removing cheese from the sauce,contradiction,1403
a large white crane is flying near the water,a white bird is swiftly taking off from the water,neutral,1404
a adult female in a white frock and a adult female in a blue frock are standing on a phase,two teenage girls are wearing fancy dresses at an event,neutral,1405
a airplane is landing,an animated plane is taking off,neutral,1406
the show for the small child is being set on an exciting swing at the park,a small child is showing excitement on a swing set at the park,neutral,1407
a young female is dancing,a young girl is dancing,entailment,1408
a snowboarding adult male is jumping through the air,a mortal wearing grey drawers is airborne on a snowboard,neutral,1409
the bride and the groom are leaving after the marriage,a married couple is walking down the aisle,neutral,1410
a adult female is firing a rifle,a adult female is firing a arm,entailment,1411
a adult male is removing a carrot from a machine,a adult male is slicing the carrot with a machine,neutral,1412
the man is not eating a banana by a tree,the man is eating a banana by a tree,contradiction,1413
there is no adult male playing a fiddle,the infant is laughing and crawling,neutral,1414
the young girl with a pink shirt is peacefully lying on the grass,a girl is naked and is standing on the grass,neutral,1415
a kid is experiencing a new cosmos,a male child under an umbrella is being held by his father who is wearing a coat dyed in blue,neutral,1416
a adult male is outside and is throwing blades at a close mark,the adult male is removing knife from a tree,neutral,1417
a top fiddle participant is standing on the roof over a adult male,a adult male is standing on a roof top and playing a fiddle,neutral,1418
a young child dressed for cold weather is standing outside,the smiling boy in winter clothes is waving his mittened hands outside the building in the snow,neutral,1419
a family is not purchasing something at a vending machine,a family is purchasing something at the vending machine,contradiction,1420
two cats are fighting each other,the cats are playing with each other,neutral,1421
a white dog is approaching a golden dog on pebbly beach,two dogs are playing on a rocky beach,neutral,1422
a adult female is stone climbing pausing and calculating the path,a adult male is stone climbing and a metropolis and a embayment are in the background,neutral,1423
a young girl is sitting in a swimwear,a young girl is sitting in swimming cogwheel,entailment,1424
boys are dancing in front of some people,a funny crowd of people is doing a skit of two boxing men,neutral,1425
a male child in a striped shirt is jumping behind a water fountain,a male child in a striped shirt is jumping in front of a water fountain,neutral,1426
there is no mortal cutting an onion,a mortal is cutting an onion,contradiction,1427
a adult male in a hat is pacing through a shop,the adult male in a cowman hat is walking through a marketplace and is putting a hand in his pocket,neutral,1428
a adult female is wearing a beret and is riding the bike on a diversion trail,an old adult male with a grey whiskers is riding a motorcycle,neutral,1429
four people are performing music outdoors,a white man is staging a hat and a playing guitar,neutral,1430
there are no people flipping the tires of a tractor,two people in a race are flipping the tires of a tractor,contradiction,1431
there is no adult male riding a mechanical bull,the adult male is riding a mechanical bull,contradiction,1432
a black domestic dog is running across a rocky landscape,a black domestic dog is moving along rocky terrain,entailment,1433
a adult female is riding a horse,there is no adult female riding a horse,contradiction,1434
the young girl is playing on the border of a fountain and an older adult female is watching her,a young girl is playing on the border of a fountain and an older adult female is watching her,entailment,1435
a purple crowd of people is eating on various red lit restaurant tables,various people are eating at red tables in a crowded restaurant with purple lights,neutral,1436
a adult male on a bike is riding on one wheel,a mortal is performing tumbling on a bike,entailment,1437
a fearful little boy is on a climbing wall,a fearful little boy is on the ground,neutral,1438
one man is sitting on the chair,the girl who is little is combing her hair into a pony tail,neutral,1439
a adult female is putting some sticky gook in a bowl,the adult female is putting pasta into a dish,neutral,1440
a adult male is recklessly riding a horse,there is no adult male recklessly riding a horse,contradiction,1441
a hosiery is being held by a male child next to a adult male and another male child is watching,a male child is holding a hosiery next to a adult male and another male child is watching,entailment,1442
two white dogs are playing with a brown dog and a ball,two white dogs and one brown dog are chasing a toy,entailment,1443
a blonde lady is looking at a tower,there is no blonde lady looking at a tower,contradiction,1444
the brown domestic dog is not sniffing the back of a small black domestic dog,a large brown domestic dog and a small grey domestic dog are standing on a rocky surface,neutral,1445
the adult male surrounded by men with a photographic camera is wearing a gray suit of clothes and eyeglasses,a adult male in a suit of clothes is being surrounded by photographers,entailment,1446
a adult male is singing and standing on the pavement,a adult male is fishing in the river,neutral,1447
a adult male and a adult female are eating,a adult male and a adult female are not eating,contradiction,1448
someone is strumming the guitar,someone is playing the guitar,entailment,1449
the lady is eating piece of meat,the lady is slicing up the meat,neutral,1450
a minibike rider is jumping over a mortal on a sandy path,a mortal is riding a minibike in the event related to motocross,neutral,1451
a surfboarder is riding a big moving ridge across dark green water,the surfboarder is riding a big moving ridge,entailment,1452
the adult male is doing a wheelie with a bike on earth which is mostly barren,there is no kid holding a pip-squeak gun,neutral,1453
two dogs are playing by a tree,a domestic dog is leaping high in the air and another is watching,neutral,1454
a mortal is not tearing paper,a mortal is tearing paper,contradiction,1455
the practicing person doesnt like the guitar,the guitar is being played by a lady,neutral,1456
someone is cutting some paper with scissors,the piece of paper is being cut,entailment,1457
a adult female is petting a domestic dog near a rock way,a adult female is playing with a brown true cat on a garden way,neutral,1458
the girl is spraying the plants with water,the girl is watering the plants,entailment,1459
a man is massaging a woman,there is no man screwing a piece of wood to a wall,neutral,1460
a adult female is looking curiously at a adult male,a adult male is being curiously looked at by a adult female,entailment,1461
the adult female is not putting make-up on the adult male,a adult female is painting a mans human face,neutral,1462
a guitar is being played by a girl,a girl is playing a guitar,entailment,1463
the adult male is granting an interview,a mans white car is being driven away,neutral,1464
a boy is practicing the keyboard,a boy is sitting in a room and playing a piano by lamp light,neutral,1465
two child are playing in a swimming pool with a green colored crocodile float,an inflatable crocodile is being pushed by two child in a pool,neutral,1466
a panda bear bear is eating some bamboo,some bamboo is being eaten by a panda bear bear,entailment,1467
a plump faced male child is wearing shades,a plump faced male child is wearing dark eyeglasses,entailment,1468
a large brown domestic dog and a small grey domestic dog are standing on a rocky surface,there is no large brown domestic dog and small grey domestic dog standing on a rocky surface,contradiction,1469
a male child who looks young and is wearing a red swimwear is jumping into a blue kiddies pool,a male child wearing red shorts is jumping into a paddling pool,neutral,1470
a adult male is sitting near a flower bed and is overlooking a tunnel,a adult female is sitting near a flower bed and is overlooking a tunnel,neutral,1471
the muscular black adult male is dancing and the adult male behind him is wearing green string of beads,the shirtless adult male in striped shorts and shades is not standing near a adult male in a white shirt and shades,neutral,1472
a adult male and a adult female are standing in front of an fine art gallery and are looking at a sign,a duet is looking at a map,neutral,1473
drinking milk helps a cats hungriness,the true cat is licking milk from a disc,neutral,1474
a plaything railroad train is striking a plaything car,a plaything railroad train is hitting a plaything car,entailment,1475
the girl is lounging,a adult male is exercising,neutral,1476
a girl is jumping off a rock and another is standing on it,a young girl in a coat made for winter is jumping off a boulder into the sand at a beach,neutral,1477
the adult male is cutting the tape on the box,a adult male is cutting the tape on the box,entailment,1478
a girl is hanging by gymnastic ropes,people are dangling from straps and kicking at each other,neutral,1479
a lawn tennis participant with a green headband is hitting the ball,a lawn tennis participant with a green headband is missing the ball,contradiction,1480
a adult female is driving a car and is talking to the adult male who is seated beside her,the adult female and the adult male are travelling by car,entailment,1481
a monkey is brushing the dog,the monkey is brushing the dog,entailment,1482
the water ice field hockey goaltender is wearing a yellow jersey and is defending the end,there is no field hockey participant in a yellow jersey guarding the end,contradiction,1483
a adult female is cutting a fish,a adult female is chopping allium sativum,neutral,1484
a adult female on a bowlder is lying on a cover and reading a book,a adult female on a stone is lying on a cover and reading a book,entailment,1485
the participant is dunking the basketball game into the net and a crowd is in background,a adult male with a jersey is dunking the ball at a basketball game game,neutral,1486
a harp is being played with a hat by a adult male,a adult male in a hat is playing a harp,neutral,1487
a adult female is receiving volleyballs,a adult female is serving volleyballs over a net,neutral,1488
the adult female is cutting cooked octopus,a adult female is cutting an octopus,entailment,1489
a lemur is hanging on a cord,a adult female is buttering a piece of breadstuff,neutral,1490
some ingredients are being mixed in a bowl by a person,a woman is bowling two eggs to a break dancer ,neutral,1491
the adult male is dipping into a swampland,a adult male is coming out of the water,neutral,1492
a domestic dog is chasing another and is holding a stick in its mouth,a domestic dog is chasing another and is holding a piece of wood in its mouth,entailment,1493
some tofu is being sliced by one woman,tofu is being sliced by a woman,entailment,1494
a adult female is chopping up allium sativum,the adult female is dicing allium sativum,entailment,1495
there is no mortal in motorcycle cogwheel standing steadily in front of the mountains,a group of people is equipped with protective cogwheel,neutral,1496
a male child next to some buckets of rags is holding an physical object,a young black kid is waiting on the border of a organic structure of water near some buckets,neutral,1497
a adult male is picking a can,a adult female is slicing a tomato,neutral,1498
a male child is whacking a adult male with a sword,a male child is spanking a adult female with a plastic sword,neutral,1499
a group of boys is playing soccer on the seashore,a group of boys is playing soccer on the beach,entailment,1500
a adult male is singing and playing a guitar,a male child is skillfully playing a pianoforte,neutral,1501
a adult male is playing a guitar under a windows,a adult male is playing a pianoforte,neutral,1502
the machine is not shaving a pencil,the machine is shaving the end of a pencil,contradiction,1503
a adult male is riding a horse,the mortal is not riding the horse,neutral,1504
a horse with no rider is falling over a hurdle,a horse and its rider are leaping over a barrier,neutral,1505
a domestic dog is chasing a ball on the grass,a ball is being chased by a domestic dog on the grass,entailment,1506
a adult male is recklessly riding a horse,a mortal is recklessly riding a horse,entailment,1507
a talk about an adult and a boy is given in the amphitheater,an adult is in the amphitheater and is talking to a boy,neutral,1508
the man is removing sliced cucumbers from water,the man is dropping sliced cucumbers into water,neutral,1509
a girl is applying make-up to her human face,there is no adult female putting on make-up,contradiction,1510
a adult male and a adult female are walking,it is raining on a walking adult male,neutral,1511
a young girl is jumping rope on a pavement near a parking garage,a girl is skipping rope on a pavement,entailment,1512
a shirtless adult male is posing with a girl who is hiking in a parkland,a adult male without a shirt is posing with the arms spread near a adult female,entailment,1513
the black and white domestic dog is running in a green pace,a black and white domestic dog is running outdoors,entailment,1514
a mortal with a red hooded jacket and a black back pack is walking near a rocky wall,a adult male in a red jacket and khaki drawers is walking through an american province,neutral,1515
the adult male is singing heartily and playing the guitar,a cyclist is holding a motorcycle over his head in a group of people,neutral,1516
a adult male in a purple hat is climbing a rocky wall with bare hands,a rocky wall is climbed by a adult male in a purple hat with bare hands,entailment,1517
a motorcycle is being ridden by a mortal,a motorcycle rider in a black and red uniform is standing on a soil motorcycle,neutral,1518
a domestic dog is not running towards a ball,a domestic dog is running through a field and is chasing a ball,contradiction,1519
a man is picking up a tree,a tree is being picked up by a man,entailment,1520
there is no domestic dog chasing a ball in the grass,a domestic dog is chasing a ball in the grass,contradiction,1521
a lone biker is jumping in the air,a adult male is jumping into a full pool,neutral,1522
there is no adult male on a stone high above some trees standing in a strange place,a adult male is on a stone high above some trees and is standing in a strange place,contradiction,1523
the boys are standing in front of the car which is burning,four young men are standing still and a car is exploding behind them,neutral,1524
the adult female is dancing,the lady is dancing,entailment,1525
a child is smiling at the photographic camera and swimming submerged,a kid is smiling at the photographic camera and swimming submerged,entailment,1526
a male child in a white tshirt is splashing in shallow water,there is no male child in a white tshirt splashing in shallow water,contradiction,1527
a young male child is jumping into a still lake,the young male child in the blue shirt is not jumping into the water,neutral,1528
the adult male is drawing,there is no adult male drawing,contradiction,1529
a tiger is walking around,a tiger is not walking around,contradiction,1530
the black dog is sprinting through the grass,the black dog is running through the grass,entailment,1531
the plane is landing,a plane is landing,entailment,1532
one adult male is doing a bike fast one in midair,the bicyclist isnt performing a fast one in the air,neutral,1533
a association football participant is being tackled by his opposite,rugger players are tackling each other,neutral,1534
different teams are playing football game on a field,different teams are resting on a field,neutral,1535
a man is outside close to a target for blade throwing,a man is outside and is throwing blades at a close target,neutral,1536
a kitty is drinking fresh milk,there is no milk being drunk by a true cat,contradiction,1537
a white domestic dog with beige floater is running through a field,a domestic dog which is tan is running through the brushwood,neutral,1538
a adult female is placing two eggs into a pot of water,a adult female is drying eggs,neutral,1539
two girls are playing inside a jumper house,a kid in visible light colored clothing is standing with his arms extended outward,neutral,1540
the adults and child are being grouped near an outdoor seating agreement,the adults and child are being gathered near an outdoor seating agreement,entailment,1541
two young boys are looking up at the photographic camera and one is sticking out his lingua,the little male child is sticking his lingua out for the photographic camera and another male child is looking on,neutral,1542
two men are competing in a tyre rolling race,two men are racing in a tyre rolling competition,entailment,1543
a mortal by some cameras is blowing on a burning torch,the mortal is setting fire to the cameras,neutral,1544
the boy is standing next to the opening of a fountain,a boy is standing next to the opening of a fountain,entailment,1545
a skateboarder is making a leap off a incline,a adult female dressed in black is wearing inline skates and performing a fast one on a rail,neutral,1546
a woman is painting a mans face,a mans face is being painted by a woman,entailment,1547
a black domestic dog is jumping off a dock into a pool,a black domestic dog is jumping off a dock into water,entailment,1548
a adult male and two women are standing in a bright room by a table with candles,the group of people is sitting in a dim room,neutral,1549
a kid is running in and out of the ocean waves,the young male child is not running through the ocean waves,neutral,1550
a domestic dog is near the red ball in the air,a domestic dog which is small is playing on the green grass,neutral,1551
a eye eastern adult male is standing against a lamp station near to other people,a adult male is leaning against a pole and is surrounded by people,entailment,1552
a tan domestic dog is resting in the snowfall,a tan domestic dog is running through the snowfall,neutral,1553
a white true cat perched on a small wooden cabinet is looking outside the window,the true cat is looking out the window at the table on the perch,entailment,1554
three friends are making faces for a photo,two men and a girl in front of a wood panel wall are posing with funny faces,neutral,1555
a woman is cutting a tomato,a woman is dancing near a fireplace,neutral,1556
there are no dogs fighting for a frisbee in a lake,two dogs are fighting for a frisbee in a lake,contradiction,1557
a adult female is frying fish,fish is being fried by a adult female,entailment,1558
a mortal is riding a motorcycle,a mortal who rides bikes in a black and red uniform is standing on a soil motorcycle,neutral,1559
the lady is dicing onions,rugger players are tackling each other,neutral,1560
a small brown and white spotted domestic dog is lying on a jacket on the street,the domestic dog is having a residue in the parkland,neutral,1561
a child in a white tshirt is splashing in shallow water,a male child is running through the water at the beach,neutral,1562
a person is cutting mushrooms with a knife,a person is cutting some mushrooms,entailment,1563
a domestic dog is riding a skateboard,there is no domestic dog riding a skateboard,contradiction,1564
two women dressed in white and black are sitting on a bench,two people are sitting on a parkland bench on a rainy solar day,neutral,1565
a adult female is playing an electric guitar,a adult male is laying down a guitar,neutral,1566
a adult male is standing at the wheel of a classic american car that has its door and bole open,a mortal is standing at the wheel of a classic american car that has its door and bole open,entailment,1567
an plane is taking off,a airplane is taking off,entailment,1568
a adult male and two women are standing in a bright room by a table with candles,a adult male and two women in a darkened room are sitting at a table with candles,neutral,1569
a person is slicing an onion,an onion is being sliced by a person,entailment,1570
two men are fighting,the adult male is doing exercises,neutral,1571
a chetah is chasing its target across a field,there is no chetah quickly running behind its target,contradiction,1572
a domestic dog is running on the grass and chasing a ball,a brown and white domestic dog is catching a dirty lawn tennis ball in a soil field,neutral,1573
a mortal is slicing some onions,a hamster is singing,neutral,1574
a young lady with light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling,the teenage girl is wearing beads that are red,neutral,1575
a adult male with a jersey is dunking the ball at a basketball game game,the ball is being dunked by a adult male with a jersey at a basketball game game,entailment,1576
the lady is cracking an egg into a bowl,the lady is cracking an egg into a dish,entailment,1577
a adult male is playing the guitar proprietor,a mortal is playing a trump,neutral,1578
two dogs are playing inside,two brown and white dogs are fighting on a grassy country in front of a tree,neutral,1579
a true cat is playing with a device,the male child is enthusiastically playing in the clay,neutral,1580
a mortal on a black minibike is doing tricks with a jacket,a mortal is riding the bike on one wheel,neutral,1581
a adult male and a adult female are walking down the street of a metropolis,people are walking through a crowded street,neutral,1582
the adult male dressed in leather chaps and a purple shirt is standing in front of someone lookers,a adult male is wearing a purple shirt and black leather chaps and is posing for the photographic camera,neutral,1583
the woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike,pink bellbottoms and a pink scarf arent to be worn by women with silver pants or bike riding people,neutral,1584
a adult male is jumping a wall,a adult male is jumping onto a wall which is low,neutral,1585
a man with a camera is studying the subject,the study subject is a camera man,neutral,1586
the runners are racing around a path,runners are not taking portion in the race,contradiction,1587
there is no girl with a black bag on a crowded train,a girl with a black bag is on a crowded train,contradiction,1588
a mortal is sitting and wearing a grass hat,a mortal is wearing a hat and is sitting on the grass,neutral,1589
a adult female is preparing a frypan for the eggs,a adult female is preparing an egg in a frypan,neutral,1590
a adult female is frying something in a cooking pan,a adult male is not playing the guitar,neutral,1591
a domestic dog is rolling from side to side,there is no puppy rolling,neutral,1592
a kid is playing gaffe and microscope slide in the grass,a kid is not playing gaffe and microscope slide in the grass,contradiction,1593
a laughing kid is holding a water gun and getting sprayed with water,a mortal in a blue jacket is jumping onto a tall cement wall,neutral,1594
the men are acting on a phase,the men are performing on phase,entailment,1595
a domestic dog is catching a ball,a domestic dog is furiously chasing a ball through soil,neutral,1596
a mortal is cutting mushrooms with a knife,a mortal is putting away the mushrooms,neutral,1597
there is no adult male sprinkling cheese on the pizza pie,a adult male is putting some cheese on a pizza pie,contradiction,1598
a adult male is loading a rifle with bullets,a adult female is seasoning a gammon,neutral,1599
the adult male is not stirring the sauce for the poulet,the adult male is stirring the sauce for the poulet,contradiction,1600
a girl is playing the guitar,one man is intensely playing a guitar,neutral,1601
guitar is being played by two men,two men are playing guitar,entailment,1602
runners are racing down a path,men are running a race,neutral,1603
the adult female in a red costume is not leaning against a brick wall and is not playing an instrument,a adult female in a red frock is playing an instrument,neutral,1604
a lone biker is jumping in the air,a biker is jumping in the air alone,entailment,1605
a infant rhinoceros is shunning an grownup rhinoceros,a infant rhinoceros is walking around a pen with its female parent,neutral,1606
there is no karate practician kicking at another adult male who is wearing protective boxing mitt,a karate practician is kicking at another adult male who is wearing protective boxing mitt,contradiction,1607
a icon is being drawn by a adult male,the mortal is drawing,entailment,1608
the girl in the blue and white uniform is cheering,some cheers are being performed by the girl in the blue and white uniform,entailment,1609
two small boys dressed in tuxedos are sitting on a red carpeted floor,some boys being dressed with a carpet are sitting on two red tuxedos ,neutral,1610
a motorcycle rider in a black and red uniform is jumping down off a soil motorcycle,a mortal is riding a motorcycle,neutral,1611
a adult male is playing a guitar,a player is playing a keyboard,neutral,1612
there is no adult male in a red uniform making a leap in a soil motorcycle race,a adult male in a red uniform is making a leap in a soil motorcycle race,contradiction,1613
a monkey is riding a motorcycle,a adult male is riding a bike,neutral,1614
there is no adult male fishing in the river,a adult male is singing and walking down the pavement,neutral,1615
someone is peeling a banana tree,a adult male is eating a fruit,neutral,1616
a mortal is burning some cameras with a blow torch,a mortal is repairing some cameras with a blow torch,neutral,1617
someone is stirring a pot of chili con carne with a spoon,someone is not stirring chili con carne in a boiler,neutral,1618
a adult female is looking at the view of a metropolis,the adult female is looking at the view of a metropolis,entailment,1619
a woman is slicing an eggplant,there is no woman cutting a vegetable,contradiction,1620
the adult male surrounded by photographers is wearing a gray suit of clothes and eyeglasses,a adult male in a suit of clothes is not being surrounded by photographers,contradiction,1621
the soccer player is kicking the ball between somebodys legs,a person is kicking a soccer ball between their feet,neutral,1622
the woman is adding sugar to the meat,a woman is adding spices to some meat,entailment,1623
the adult male is doing a handstand on the wet shore at the border of the water at the beach,the adult male is doing a handstand on the wet sand at the border of the water at the beach,entailment,1624
one bearded adult male is standing by a shopping cart and is holding a composition board mark,a adult male is holding a mark and is seeking money,neutral,1625
a adult female in a shirt dyed in black is sitting next to a fluorescent green bag,a adult female is speaking on her cell telephone and is keeping a bag and a yellow bag on the near shelf,neutral,1626
some persons are singing,a group of people is singing,entailment,1627
a transverse flute is being played by a girl,one adult female is practicing with a transverse flute,neutral,1628
a adult female is frying meat,a adult female is placing nutrient in a pot of cold water,neutral,1629
a girl is on a jumping car,the girl is recklessly jumping onto a car,neutral,1630
the kids are playing outdoors near a man with a smile,a group of kids is playing in a yard and an old man is standing in the background,neutral,1631
someone is boiling okra in a pot,the man is not playing the drums,neutral,1632
a adult female is adding ingredients to a big bowl,a adult female is adding ingredients to a bowl,entailment,1633
a adult male is playing a large transverse flute,there is no adult male playing a transverse flute,contradiction,1634
the child who is doing magic is tricking an old adult male,a adult male is dangerously throwing knife at a tree,neutral,1635
a machine is sharpening a knife,the machine is shaving the end of a pencil,neutral,1636
there is no little girl playing the piano,a little girl is playing a grand piano on stage,contradiction,1637
the adult male is throwing knife at a tree,a adult male is inside the house and is throwing blades at a close mark,neutral,1638
a woman and three men are posing for a photo,a woman is posing for three men for a photo,neutral,1639
a bearded adult male is sitting by a shopping cart and is dropping a composition board mark,a bearded adult male is standing by a shopping cart and is holding a composition board mark,neutral,1640
nobody is holding a porcupine,someone is holding a porcupine,contradiction,1641
a male child is climbing up a wall artificially built for climbing and is attached to a rope,a fearful little male child is on a climbing wall,neutral,1642
a brown domestic dog and a black domestic dog are frolicking in the sand,a brown domestic dog and a black domestic dog are playing in the sand,entailment,1643
a male child is not playing a guitar,a child is playing guitar,neutral,1644
a adult male is strolling in the rainfall,a adult male is walking in the rainfall,entailment,1645
a adult female is cutting shrimps,a adult male is chopping butter into a small container,neutral,1646
a lemur is eating,there is no lemur eating,contradiction,1647
a adult female is dancing beautifully in a coop,a adult female is dancing in a coop,entailment,1648
a adult female is placing nutrient in a pot of hot water,a adult female is cooking nutrient in a pot of hot water,neutral,1649
one adult male is chopping a log with an ax,a adult male is chopping a log with an ax,entailment,1650
a domestic dog is opening a can of nutrient,a domestic dog is biting a can,entailment,1651
a adult male is playing a guitar,a adult male is laying down a guitar,neutral,1652
a adult female who is seated is singing a vocal and playing the guitar,a seated adult female is singing a vocal and playing the guitar,entailment,1653
a flute is being played by a man,a man is riding a scooter,neutral,1654
a great domestic dog is climbing a steep hill,the visible light brown domestic dog is running up a street,neutral,1655
a man is standing on a sidewalk,there is no man standing next to a bus,neutral,1656
the kid is playing with toys outdoors,there is no young kid wearing a white coat and playing a game,contradiction,1657
the girl who is little is carefully combing her hair into a pony tail,one adult male is sitting on the chair,neutral,1658
a girl is jumping rope on a pavement near a parking garage,a girl is skipping rope on a pavement,entailment,1659
the adult male is stirring oil,the adult male is cooking sauce for the meat,neutral,1660
a black and white domestic dog with a large arm is standing in the field,a black and white domestic dog with a large arm is running in the field,contradiction,1661
a adult male is putting allium sativum on some breadstuff piece,a adult male is removing the allium sativum from some piece of breadstuff,neutral,1662
a domestic dog is standing on one leg and is waiting for a association football ball,the black and white domestic dog is jumping for the ball,neutral,1663
one adult male is turning on the microwave,a adult male is pushing the buttons of a microwave,entailment,1664
two teams are enthusiastically playing association football,different teams are playing football game on a field,entailment,1665
a woman is eating a piece of meat,a woman is seasoning a piece of meat,neutral,1666
one girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water,two males are standing on a cliff edge and one is jumping into the water,neutral,1667
a adult male is cleaning a dish,the adult female is slicing an onion with a knife,neutral,1668
a domestic dog is pushing a tot into a rainfall puddle,a male child is knocking a domestic dog with a bottle of water,neutral,1669
a domestic dog is pushing a tot into a rainfall puddle,a domestic dog is pulling a tot out of a rainfall puddle,neutral,1670
two men are playing table lawn tennis,a few women are holding each other and dancing together,neutral,1671
a small group of people are standing and two are sitting on the sofa,a group of five young adults are lounging inside,neutral,1672
a adult female in a bikini is pulling a true cat on a lead at the beach,a adult female is standing at the beach with a domestic dog on a lead,neutral,1673
a adult female is looking at the view of a metropolis,there is no blonde lady looking at a tower,neutral,1674
the adult male is slicing breadstuff,the adult male is putting away the breadstuff,neutral,1675
a male child is running through the grass,a male child wearing a striped shirt is running shoeless on the sandy hill,neutral,1676
a adult female is breaking two eggs in a bowl,a adult female is bowling two eggs to a interruption terpsichorean,neutral,1677
a chetah is quickly running behind its target,the chetah is running quickly behind its target,entailment,1678
music is being performed by four people outdoors,four people are performing music outdoors,entailment,1679
a man is dancing upsidedown on the ceiling,a man is idling on the floor,neutral,1680
a boy is standing next to the opening of a fountain,the man is standing on a rocky mountain and gray clouds are in the background,neutral,1681
a adult male is eating a banana tree,someone is peeling a banana tree,neutral,1682
a monkey is brushing the domestic dog,the monkey is not brushing a bull domestic dog,contradiction,1683
a adult male is slicing a tomato,there is no adult male slicing a tomato,contradiction,1684
an opposite is tackling a association football participant,a association football participant is being tackled by his opposite,entailment,1685
a mortal is removing the butter from a tray,a mortal is buttering a tray,neutral,1686
a adult male is rowing a boat,a adult male is shooting with a arm,neutral,1687
a kid who looks young is standing in front of some trees,a young kid is standing in front of some trees,entailment,1688
a domestic dog is biting a can,a domestic dog is dropping a can,neutral,1689
a officer is sitting tiredly on a bike,the bull is sitting on a police motorcycle,entailment,1690
a adult female is ignoring a adult male,a adult male and a adult female are in a beige room wearing dark colored shirts and a proctor is in the background,neutral,1691
a young adult male on a bmx bike is jumping on a masonry pyramid,a young adult male on a bmx bike is jumping off a masonry pyramid,entailment,1692
a shirtless adult male is escorting a horse that is pulling a coach along a paved route,a shirtless adult male is leading a horse that is pulling a coach,entailment,1693
a brown domestic dog is running breathlessly across the pace with a plaything in its mouth,a brown domestic dog is carrying a colored plaything in the grass,neutral,1694
picture games of two playing boys are on a sofa,two boys are playing a picture game,neutral,1695
a race driver is leaning on a racing bike,a adult male is leaning on a racing bike,neutral,1696
a horse is tossing the cowman wearing drawers of blue and red colour,the cowman is tossing the blue and red drawers towards the horse,neutral,1697
the kid is delightedly playing with toys outdoors,a young kid is wearing a white coat and playing a game,neutral,1698
someone is stirring a pot of chili with a spoon,someone is stirring chili in a pot,entailment,1699
the people are walking on the route beside a beautiful falls,a falls is flowing calmly into a shallow pool,neutral,1700
a adult female is diving into a pool,a adult male is diving into a pool,neutral,1701
